  1  52  84  61  22  71 
  2   3  42  66  87  62 
  3  70  82 100  99  75 
  4  13  14  31  35   4 
  5  49  83  61  70  64 
  6  15  62   4  51  83 
  7  89  70  16  24  90 
  8  58  58  73  67  53 
  9  62  81  37  55  13 
 10  62  13  70  73  33 
 11  38  60  19  65  53 
 12  81  10  29  93  64 
 13  84  57  89  13  56 
 14  31  34  60  39  25 
 15  28  18  22  35 100 
 16  64  45  86  89  98 
 17  76  30  25 100  68 
 18  73  14  48  77  82 
 19  68  28  48  96  94 
 20  24  20  29  88  95 
 21  62  16  85  72  25 
 22  31  87  41  31  64 
 23  20  30  48  86  52 
 24   6  23  48  70  51 
 25  75  14  87  53  79 
 26  58  68  56  98  64 
 27  98  83  63  13  28 
 28  14  80  83  27  58 
 29  51  64  48  38  10 
 30  13  32   6  85  58 
 31   8  86  11  11   8 
 32  83  43  18  26  36 
 33  84   0  85  53   7 
 34  57  45  39   6  11 
 35  92  51   3  39  88 
 36  65  79   7  75   7 
 37  72  16  83  81   4 
 38  45  14  22  72  81 
 39  61   9  86  46  79 
 40  77  51  74  98  56 
 41  74  60  48  42  74 
 42  42  50  59  36  10 
 43  63  41  60  19  66 
 44  85  92  74   2  22 
 45   4  76  37   0  49 
 46  25  83  64  50  77 
 47  25   5   8  22  50 
 48  51  77  98  90  14 
 49  60  86  31  68  72 
 50  52  48  19  40  83 
 51  82  28  31  23  18 
 52  60  41  40  67  36 
 53  19  21  15  93  98 
 54  69  94  62   3  76 
 55  56  89  52  51  16 
 56  57  32  85  30  27 
 57  35   3  46  38  88 
 58  41  98   5  81  21 
 59  17  10  93  92  35 
 60  95  14  55  27  32 
 61  75  74  18  56  94 
 62  28  81  16  96  61 
 63  43  81  16  49  75 
 64  48  93  20  90  28 
 65  28  99  32  90  77 
 66   4  69  69   8  80 
 67  73  84  41  31  35 
 68  24  90  63  29  12 
 69  33  80  69  15  78 
 70  69  59   8  73  38 
 71  13  94  20  74  92 
 72  97  22  28  66  56 
 73  71  68  63  36  42 
 74  64   3  31  87   8 
 75  34  59   5  70  67 
 76  56  62  47  60  96 
 77  66  14  24 100  35 
 78  38  21  87  97  52 
 79  93  92  57  81  60 
 80  64  78  96  51  66 
 81  49  23  28  15  46 
 82  33  70  89  22   5 
 83  95  10  16  99  69 
 84  51   2  92  42  20 
 85   0  47  83  56  18 
 86  84  21  68  47  13 
 87  26  60  84  33  96 
 88  80  75  27   8  17 
 89  23  57  65  36  55 
 90  83  84  39  61  70 
 91   4  57  74  43  30 
 92   6  58  53  50  70 
 93  70  47  41   8   4 
 94  71  35  72  44  83 
 95 100  92  65  83  71 
 96  67  86  32  56  76 
 97  57  58  71  40  67 
 98  43  63  58   2  73 
 99  44  24  48  66  71 
100  39  93  33   2  40 
